 6.143   6.143   3.412  O  
 4.228   4.228  23.390  O  
 4.351   4.351   7.790  O  
 4.756   9.089  19.064 Si  
 6.064  14.706  20.770  O  
 5.986  12.207  21.605  O  
 7.901  10.292  17.326  O  
 7.778  10.415   1.726  O  
 3.039  10.821  12.999 Si  
21.681  12.129  14.706  O  
23.387  13.437   9.089 Si  
22.950   5.194   3.025 Si  
24.179   2.652   6.143  O  
 1.836   6.932   4.228  O  
 1.713  22.532   4.351  O  
 6.935   4.756  21.218 Si  
 7.372  12.999  15.154 Si  
23.387   4.756   9.104 Si  
20.846   5.986   5.986  O  
 0.868   7.901   7.901  O  
16.467   7.778   7.778  O  
 7.372   5.194   3.039 Si  
 6.935  13.437  21.233 Si  
22.950  12.999  15.168 Si  
21.218  11.258  13.437 Si  
 9.089  19.064   4.756 Si  
12.207  21.605   5.986  O  
10.292  17.326   7.901  O  
10.415   1.726   7.778  O  
17.323  15.154  22.950 Si  
21.233  23.387  16.885 Si  
 0.871   3.039  22.950 Si  
21.233   6.935  13.437 Si  
17.323  15.168   7.372 Si  
12.999   3.025  19.501 Si  
15.541   6.143  18.272  O  
11.261   4.228  16.357  O  
19.919   4.351  16.480  O  
10.821   3.039  12.999 Si  
12.129  21.681  14.706  O  
12.050  24.179  15.541  O  
13.965   1.836  11.261  O  
13.842   1.713  19.919  O  
 9.089   4.756  19.064 Si  
14.706   6.064  20.770  O  
12.207   5.986  21.605  O  
10.292   7.901  17.326  O  
10.415   7.778   1.726  O  
 7.372   3.025   0.871 Si  
 6.064   8.641   2.577  O  
 9.104   1.308   6.935 Si  
 3.488   0.000   8.641  O  
10.821   3.025  17.323 Si  
12.129   8.641  15.616  O  
12.050   6.143  14.781  O  
13.965   4.228  19.061  O  
13.842   4.351  10.403  O  
 9.104   4.756  23.387 Si  
 3.488   6.064  21.681  O  
 7.372   3.039   5.194 Si  
 6.064  21.681   3.488  O  
 9.089   1.308  11.258 Si  
14.706   0.000   9.552  O  
12.207   0.078   8.717  O  
10.292  22.421  12.996  O  
10.415  22.544   4.338  O  
12.999  22.950  15.168 Si  
15.541  24.179  12.050  O  
11.261   1.836  13.965  O  
19.919   1.713  13.842  O  
13.437   6.935  21.233 Si  
 5.194   7.372   3.039 Si  
 2.652   6.143  24.179  O  
 6.932   4.228   1.836  O  
22.532   4.351   1.713  O  
 4.756  23.387   9.104 Si  
 5.986  20.846   5.986  O  
 7.901   0.868   7.901  O  
 7.778  16.467   7.778  O  
12.999   7.372  15.154 Si  
 4.756   6.935  21.218 Si  
 5.986   9.476   0.078  O  
 7.901   5.197  22.421  O  
 7.778  13.855  22.544  O  
 5.194  22.950   3.025 Si  
 2.652  24.179   6.143  O  
 6.932   1.836   4.228  O  
22.532   1.713   4.351  O  
13.437  23.387   9.089 Si  
12.207  20.846  12.207  O  
10.292   0.868  10.292  O  
10.415  16.467  10.415  O  
15.168   0.871  10.821 Si  
 9.552   2.577  12.129  O  
12.050   3.412  12.050  O  
13.965  23.390  13.965  O  
13.842   7.790  13.842  O  
 3.039  17.323  19.501 Si  
21.681  15.616  18.193  O  
19.064  21.233   1.308 Si  
20.770  15.616   0.000  O  
21.605  18.115   0.078  O  
17.326  20.030  22.421  O  
 1.726  19.907  22.544  O  
15.154  12.999   7.372 Si  
20.770  14.706   6.064  O  
18.272  15.541   6.143  O  
16.357  11.261   4.228  O  
16.480  19.919   4.351  O  
11.258   9.089   1.308 Si  
 9.552  14.706   0.000  O  
 8.717  12.207   0.078  O  
12.996  10.292  22.421  O  
 4.338  10.415  22.544  O  
15.154   5.194  10.821 Si  
20.770   3.488  12.129  O  
18.272   2.652  12.050  O  
16.357   6.932  13.965  O  
16.480  22.532  13.842  O  
19.064  21.218  16.885 Si  
20.770   2.577  18.193  O  
21.605   0.078  18.115  O  
17.326  22.421  20.030  O  
 1.726  22.544  19.907  O  
23.387   9.104   4.756 Si  
21.681   3.488   6.064  O  
13.437  21.218  11.258 Si  
12.129   2.577   9.552  O  
15.168  19.501   5.194 Si  
 9.552  18.193   3.488  O  
12.050  18.272   2.652  O  
13.965  16.357   6.932  O  
13.842  16.480  22.532  O  
16.885  21.233  23.387 Si  
18.193  15.616  21.681  O  
15.154  22.950  17.323 Si  
20.770   0.000  15.616  O  
13.437  21.233   6.935 Si  
12.129  15.616   8.641  O  
12.207  18.115   9.476  O  
10.292  20.030   5.197  O  
10.415  19.907  13.855  O  
15.154  19.501   0.871 Si  
20.770  18.193   2.577  O  
16.885  21.218  19.064 Si  
18.193   2.577  20.770  O  
15.168  22.950  12.999 Si  
 9.552   0.000  14.706  O  
11.258   1.308   9.089 Si  
 8.717   0.078  12.207  O  
12.996  22.421  10.292  O  
 4.338  22.544  10.415  O  
10.821  17.323   3.025 Si  
19.064  16.885  21.218 Si  
19.501   0.871  15.154 Si  
18.272   3.412  18.272  O  
16.357  23.390  16.357  O  
16.480   7.790  16.480  O  
11.258  16.885   9.104 Si  
19.501  17.323   3.039 Si  
18.272  14.781  24.179  O  
16.357  19.061   1.836  O  
16.480  10.403   1.713  O  
19.064   1.308  21.233 Si  
10.821   0.871  15.168 Si  
 9.089  23.387  13.437 Si  
14.706  21.681  12.129  O  
21.218   6.935   4.756 Si  
 2.577   8.641   6.064  O  
 5.194   3.025  22.950 Si  
 3.488   8.641   0.000  O  
 9.104  11.258  16.885 Si  
 3.488   9.552  18.193  O  
 5.986   8.717  18.115  O  
 7.901  12.996  20.030  O  
 7.778   4.338  19.907  O  
12.999  15.168  22.950 Si  
14.706   9.552   0.000  O  
15.541  12.050  24.179  O  
11.261  13.965   1.836  O  
19.919  13.842   1.713  O  
 9.104  19.064  13.437 Si  
 3.488  20.770  12.129  O  
 5.986  21.605  12.207  O  
 7.901  17.326  10.292  O  
 7.778   1.726  10.415  O  
 5.194   3.039   7.372 Si  
 3.488  21.681   6.064  O  
 0.871  15.154  19.501 Si  
 2.577  20.770  18.193  O  
10.821  15.168   0.871 Si  
12.129   9.552   2.577  O  
12.050  12.050   3.412  O  
13.965  13.965  23.390  O  
13.842  13.842   7.790  O  
 9.089  16.885   6.935 Si  
14.706  18.193   8.641  O  
 7.372  15.154  12.999 Si  
 6.064  20.770  14.706  O  
 9.104  13.437  19.064 Si  
 3.488  12.129  20.770  O  
10.821  15.154   5.194 Si  
12.129  20.770   3.488  O  
 9.104  16.885  11.258 Si  
 3.488  18.193   9.552  O  
 7.372  15.168  17.323 Si  
 6.064   9.552  15.616  O  
 9.089  13.437  23.387 Si  
14.706  12.129  21.681  O  
12.207  12.207  20.846  O  
10.292  10.292   0.868  O  
10.415  10.415  16.467  O  
12.999  10.821   3.039 Si  
13.437  19.064   9.104 Si  
 5.194  19.501  15.168 Si  
 2.652  18.272  12.050  O  
 6.932  16.357  13.965  O  
22.532  16.480  13.842  O  
 4.756  11.258  21.233 Si  
12.999  19.501   3.025 Si  
 4.756  19.064   9.089 Si  
 5.194  10.821  15.154 Si  
 2.652  12.050  18.272  O  
 6.932  13.965  16.357  O  
22.532  13.842  16.480  O  
13.437  11.258  21.218 Si  
12.207   8.717   0.078  O  
10.292  12.996  22.421  O  
10.415   4.338  22.544  O  
15.168  12.999  22.950 Si  
12.050  15.541  24.179  O  
13.965  11.261   1.836  O  
13.842  19.919   1.713  O  
 3.039   5.194   7.372 Si  
19.064   9.104  13.437 Si  
21.605   5.986  12.207  O  
17.326   7.901  10.292  O  
 1.726   7.778  10.415  O  
15.154   0.871  19.501 Si  
11.258  21.218  13.437 Si  
15.154  17.323  22.950 Si  
19.064   9.089   4.756 Si  
21.605  12.207   5.986  O  
17.326  10.292   7.901  O  
 1.726  10.415   7.778  O  
23.387  21.233  16.885 Si  
13.437   9.089  23.387 Si  
12.129  14.706  21.681  O  
15.168   7.372  17.323 Si  
 9.552   6.064  15.616  O  
16.885   9.104  11.258 Si  
18.193   3.488   9.552  O  
15.154  10.821   5.194 Si  
20.770  12.129   3.488  O  
13.437   9.104  19.064 Si  
12.129   3.488  20.770  O  
15.154   7.372  12.999 Si  
20.770   6.064  14.706  O  
16.885   9.089   6.935 Si  
18.193  14.706   8.641  O  
15.168  10.821   0.871 Si  
 9.552  12.129   2.577  O  
11.258  13.437  21.218 Si  
10.821   5.194  15.154 Si  
19.064   4.756   9.089 Si  
19.501  12.999   3.025 Si  
11.258   4.756  21.233 Si  
19.501   5.194  15.168 Si  
19.064  13.437   9.104 Si  
10.821  12.999   3.039 Si  
 9.089  11.258   1.308 Si  
21.218  19.064  16.885 Si  
 5.194  15.154  10.821 Si  
 9.104  23.387   4.756 Si  
12.999   3.039  10.821 Si  
 9.104   6.935   1.308 Si  
 5.194  15.168  19.501 Si  
 0.871   3.025   7.372 Si  
